Year,Global
1950,2.20462
1951,2.20462
1952,2.20462
1953,3.30693
1954,3.30693
1955,4.40924
1956,5.51155
1957,5.51155
1958,6.61386
1959,7.71617
1960,8.81848
1961,9.92079
1962,12.12541
1963,14.33003
1964,16.53465
1965,18.73927
1966,22.0462
1967,25.35313
1968,29.76237
1969,35.27392
1970,38.58085
1971,41.88778
1972,48.50164
1973,56.21781
1974,57.32012
1975,50.70626
1976,59.52474
1977,65.03629
1978,70.54784
1979,78.26401
1980,77.1617
1981,79.36632
1982,80.46863
1983,88.1848
1984,94.79866
1985,99.2079
1986,105.82176
1987,114.64024
1988,121.2541
1989,125.66334
1990,132.2772
1991,136.68644
1992,145.50492
1993,151.01647
1994,166.44881
1995,171.96036
1996,185.18808
1997,198.4158
1998,207.23428
1999,222.66662
2000,234.79203
2001,240.30358
2002,254.63361
2003,265.65671
2004,282.19136
2005,289.90753
2006,308.6468
2007,325.18145
2008,309.74911
2009,317.46528
2010,345.02303
2011,358.25075
2012,372.58078
2013,388.01312
2014,404.54777
2015,419.98011